league,season,team,player,nation,pos,age,matches,starts,minutes,nineties,goals,assists,np_goals,pens_scored,pens_taken,GA_p90,np_goals_p90,shots,shots_on_target,shots_p90,shots_on_target_p90,goals_per_shot,fouls,fouls_drawn,offsides,crosses,interceptions,tackles_won,understat_player_id,xG,xA,npxG,key_passes,xGChain,xGBuildup,_ust_goals,_ust_assists,_ust_shots,_ust_minutes,xG_p90,npxG_p90,xA_p90,key_passes_p90,xGChain_p90,xGBuildup_p90,crosses_p90,fouls_drawn_p90,offsides_p90,interceptions_p90,tackles_won_p90,npxG_plus_xA_p90,xG_per_shot,team_goals,team_np_goals,team_minutes,team_possession,team_shots,share_team_goals,share_team_shots,minutes_pct,team_goals_p90,GA_p90_tertile,season_next,target_tertile_next
GER-Bundesliga,1920,Freiburg,Jonathan Schmid,FRA,"MF,DF",29.0,33,31,2836,31.5,5,1,5,0,0,0.19,0.16,43.0,14.0,1.36,0.44,0.12,12.0,36.0,4.0,99.0,38.0,28.0,81.0,2.997105007059872,2.660894910804928,2.997105007059872,27.0,6.39037499576807,3.2887252224609256,5.0,1.0,43.0,2840.0,0.09511264126776744,0.09511264126776744,0.08444306839648924,0.8568406205923836,0.20279751397007273,0.10436716150263868,3.141748942172073,1.1424541607898449,0.12693935119887165,1.2059238363892806,0.8885754583921015,0.17955570966425669,0.06970011644325284,46,41,3060,48.1,442,0.10869565217391304,0.09728506787330317,0.9267973856209151,1.3529411764705883,mid,2021,mid
GER-Bundesliga,1920,Freiburg,Lucas Höler,GER,"FW,MF",25.0,34,28,2485,27.6,8,2,8,0,1,0.36,0.29,52.0,23.0,1.88,0.83,0.15,37.0,79.0,10.0,18.0,11.0,17.0,6475.0,9.118673797696829,2.403396101668477,8.36097801104188,31.0,11.835267841815948,3.1390282306820154,8.0,2.0,52.0,2502.0,0.3302537793934465,0.3028120808828045,0.08704452682099112,1.1227364185110664,0.4286414912528915,0.1136871391393889,0.6519114688128773,2.8611670020120723,0.36217303822937624,0.3983903420523139,0.6156941649899397,0.3898566077037956,0.17535911149416977,46,41,3060,48.1,442,0.17391304347826086,0.11764705882352941,0.8120915032679739,1.3529411764705883,high,2021,high
GER-Bundesliga,1920,Freiburg,Manuel Gulde,GER,DF,28.0,17,15,1371,15.2,1,0,1,0,0,0.07,0.07,14.0,4.0,0.92,0.26,0.07,7.0,12.0,2.0,11.0,22.0,17.0,5292.0,1.1286246990785005,0.1563299000263214,1.1286246990785005,5.0,3.45910887606442,3.2068117782473564,1.0,0.0,14.0,1378.0,0.0740891487360066,0.0740891487360066,0.010262356675688495,0.3282275711159738,0.2270749809232661,0.21051280820004528,0.7221006564551423,0.7877461706783371,0.1312910284463895,1.4442013129102846,1.1159737417943107,0.08435150541169509,0.0806160499341786,46,41,3060,48.1,442,0.021739130434782608,0.03167420814479638,0.44803921568627453,1.3529411764705883,low,2021,mid
GER-Bundesliga,1920,Freiburg,Nicolas Höfler,GER,MF,29.0,32,31,2783,30.9,1,0,1,0,0,0.03,0.03,26.0,3.0,0.84,0.1,0.04,52.0,33.0,0.0,3.0,71.0,38.0,4250.0,2.590252754278481,0.3911707019433379,2.590252754278481,16.0,7.489794835448265,5.369407834485173,1.0,0.0,26.0,2788.0,0.08376670782790632,0.08376670782790632,0.012650148463852108,0.5174272367948257,0.24221399036663452,0.1736423661888845,0.09701760689902983,1.0671936758893281,0.0,2.2960833632770394,1.228889687387711,0.09641685629175843,0.09962510593378773,46,41,3060,48.1,442,0.021739130434782608,0.058823529411764705,0.9094771241830065,1.3529411764705883,low,2021,mid
GER-Bundesliga,1920,Freiburg,Nils Petersen,GER,"FW,MF",30.0,34,24,2436,27.1,11,2,10,1,1,0.48,0.37,54.0,20.0,2.0,0.74,0.19,10.0,17.0,12.0,12.0,9.0,17.0,4248.0,8.716602399945259,3.728946708142757,7.958825904875994,34.0,12.84362655878067,3.0478852037340403,11.0,2.0,55.0,2415.0,0.32204196058911055,0.29404529205206875,0.13776896704960925,1.2561576354679802,0.4745182226150494,0.11260659619707046,0.4433497536945813,0.6280788177339901,0.4433497536945813,0.33251231527093594,0.6280788177339901,0.43181425910167803,0.16141856296194923,46,41,3060,48.1,442,0.2391304347826087,0.12217194570135746,0.796078431372549,1.3529411764705883,high,2021,high
GER-Bundesliga,1920,Freiburg,Philipp Lienhart,AUT,DF,23.0,22,20,1817,20.2,0,1,0,0,0,0.05,0.0,7.0,3.0,0.35,0.15,0.0,8.0,28.0,0.0,5.0,29.0,3.0,2611.0,0.7487437045201659,0.5806012228131294,0.7487437045201659,2.0,3.5136953834444284,2.3565008714795117,0.0,1.0,7.0,1818.0,0.03708691987166479,0.03708691987166479,0.028758453524040533,0.09906439185470556,0.17404104816180438,0.11672266286910074,0.2476609796367639,1.3869014859658777,0.0,1.4364336818932306,0.14859658778205834,0.06584537339570533,0.1069633863600237,46,41,3060,48.1,442,0.0,0.01583710407239819,0.5937908496732026,1.3529411764705883,low,2021,mid
GER-Bundesliga,1920,Freiburg,Roland Sallai,HUN,MF,22.0,21,15,1162,12.9,2,0,2,0,0,0.15,0.15,34.0,12.0,2.63,0.93,0.06,30.0,42.0,9.0,42.0,6.0,10.0,1277.0,3.173120791092515,0.91549701243639,3.173120791092515,12.0,4.2775292079895735,1.7039513187482953,2.0,0.0,34.0,1170.0,0.24576667056654591,0.24576667056654591,0.07090768598904915,0.9294320137693631,0.3313060488115849,0.13197557546243252,3.253012048192771,3.253012048192771,0.6970740103270223,0.46471600688468157,0.774526678141136,0.31667435655559506,0.09332708209095632,46,41,3060,48.1,442,0.043478260869565216,0.07692307692307693,0.37973856209150325,1.3529411764705883,mid,2021,high
GER-Bundesliga,1920,Freiburg,Vincenzo Grifo,ITA,MF,26.0,26,17,1618,18.0,4,8,3,1,1,0.67,0.17,49.0,18.0,2.73,1.0,0.06,10.0,15.0,6.0,101.0,15.0,10.0,5266.0,3.1918978970497847,6.503954468294978,2.4342013858258724,41.0,8.498551793396473,3.618954658508301,4.0,8.0,49.0,1640.0,0.17754685459485822,0.13540057152307078,0.36177744261220524,2.280593325092707,0.4727253778774305,0.20130155702456556,5.618046971569839,0.8343634116192831,0.3337453646477132,0.8343634116192831,0.5562422744128553,0.497178014135276,0.06514077340917927,46,41,3060,48.1,442,0.08695652173913043,0.11085972850678733,0.5287581699346405,1.3529411764705883,high,2021,high
GER-Bundesliga,1920,Hoffenheim,Andrej Kramarić,CRO,"FW,MF",28.0,19,14,1422,15.8,12,2,10,2,2,0.89,0.63,43.0,25.0,2.72,1.58,0.23,6.0,19.0,7.0,27.0,4.0,1.0,956.0,9.89877256564796,4.02412474853918,8.383216438814998,28.0,11.398426994681358,2.765834864228964,12.0,2.0,44.0,1411.0,0.6265045927625291,0.5305833189123416,0.2546914397809607,1.7721518987341771,0.7214194300431239,0.17505283950816225,1.7088607594936709,1.2025316455696202,0.4430379746835443,0.2531645569620253,0.06329113924050632,0.7852747586933022,0.2302040131546037,52,49,3060,51.6,447,0.23076923076923078,0.09619686800894854,0.4647058823529412,1.5294117647058822,high,2021,high
GER-Bundesliga,1920,Hoffenheim,Christoph Baumgartner,AUT,"MF,FW",19.0,26,17,1493,16.6,7,2,7,0,0,0.54,0.42,56.0,23.0,3.38,1.39,0.13,37.0,29.0,6.0,17.0,7.0,18.0,7422.0,9.307568302378058,2.262524298392236,9.307568302378058,18.0,11.336936973035336,1.6164424158632755,7.0,2.0,56.0,1499.0,0.5610724361781817,0.5610724361781817,0.13638793493322252,1.0850636302746148,0.683405443786457,0.09744127088258192,1.0247823174815807,1.7481580709979907,0.36168787675820496,0.42196918955123913,1.0850636302746148,0.6974603711114042,0.1662065768281796,52,49,3060,51.6,447,0.1346153846153846,0.12527964205816555,0.48790849673202613,1.5294117647058822,high,2021,high
GER-Bundesliga,1920,Hoffenheim,Diadie Samassékou,MLI,MF,23.0,21,16,1310,14.6,0,1,0,0,0,0.07,0.0,6.0,1.0,0.41,0.07,0.0,18.0,12.0,0.0,3.0,41.0,18.0,7868.0,0.1296071009710431,1.168444411829114,0.1296071009710431,9.0,2.969174918718636,2.246646746993065,0.0,1.0,6.0,1305.0,0.008904304646865558,0.008904304646865558,0.08027480691955745,0.6183206106870229,0.20398911655318874,0.15434977651097392,0.20610687022900764,0.8244274809160306,0.0,2.816793893129771,1.2366412213740459,0.08917911156642301,0.021601183495173853,52,49,3060,51.6,447,0.0,0.013422818791946308,0.42810457516339867,1.5294117647058822,low,2021,low
GER-Bundesliga,1920,Hoffenheim,Florian Grillitsch,AUT,"MF,DF",23.0,31,28,2408,26.8,0,3,0,0,0,0.11,0.0,17.0,1.0,0.64,0.04,0.0,25.0,48.0,0.0,12.0,51.0,35.0,116.0,1.107721191830933,2.567130151204765,1.107721191830933,18.0,10.51331859920174,8.10139468125999,0.0,3.0,17.0,2423.0,0.04140153956178737,0.04140153956178737,0.09594755548522792,0.6727574750830565,0.3929396486412611,0.3027929905786541,0.4485049833887043,1.7940199335548173,0.0,1.9061461794019934,1.3081395348837208,0.13734909504701528,0.06516007010770195,52,49,3060,51.6,447,0.0,0.03803131991051454,0.7869281045751634,1.5294117647058822,mid,2021,mid
GER-Bundesliga,1920,Hoffenheim,Ihlas Bebou,TOG,"FW,MF",25.0,32,20,2102,23.4,6,1,6,0,0,0.3,0.26,35.0,17.0,1.5,0.73,0.17,24.0,29.0,6.0,37.0,10.0,15.0,6271.0,4.252615045756102,2.9289172547869384,4.252615045756102,31.0,9.96163349924609,3.8058319855481386,6.0,1.0,35.0,2085.0,0.1820815195613935,0.1820815195613935,0.12540559130867007,1.3273073263558517,0.42652093954907144,0.1629518928160478,1.5842055185537585,1.241674595623216,0.25689819219790677,0.42816365366317793,0.6422454804947669,0.3074871108700636,0.1215032870216029,52,49,3060,51.6,447,0.11538461538461539,0.07829977628635347,0.6869281045751634,1.5294117647058822,mid,2021,high
GER-Bundesliga,1920,Hoffenheim,Kevin Akpoguma,NGA,DF,24.0,18,12,1142,12.7,0,0,0,0,0,0.0,0.0,2.0,0.0,0.16,0.0,0.0,8.0,13.0,1.0,3.0,12.0,16.0,6327.0,0.0852595986798405,0.0870886966586113,0.0852595986798405,2.0,2.902340345084667,2.815251335501671,0.0,0.0,2.0,1131.0,0.006719232820652929,0.006719232820652929,0.006863382398664638,0.1576182136602452,0.2287308503131524,0.2218674432531965,0.2364273204903678,1.0245183887915938,0.0788091068301226,0.9457092819614712,1.2609457092819616,0.013582615219317567,0.04262979933992025,52,49,3060,51.6,447,0.0,0.0044742729306487695,0.373202614379085,1.5294117647058822,low,2021,mid
GER-Bundesliga,1920,Hoffenheim,Kevin Vogt,GER,DF,27.0,11,11,960,10.7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,8.0,0.0,1.0,8.0,5.0,133.0,0.2950010001659393,0.8023353181779385,0.2950010001659393,6.0,6.118910428136587,5.926135387271643,0.0,0.0,1.0,2082.0,0.02765634376555681,0.02765634376555681,0.07521893607918173,0.5625,0.573647852637805,0.5555751925567165,0.09375,0.75,0.0,0.75,0.46875,0.10287527984473854,,52,49,3060,51.6,447,0.0,0.0,0.3137254901960784,1.5294117647058822,low,2021,low
GER-Bundesliga,1920,Hoffenheim,Oliver Baumann,GER,GK,29.0,30,30,2700,30.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,0.0,0.0,3.0,0.0,73.0,0.0,0.032168298959732,0.0,1.0,2.262810207903385,2.230641949456185,0.0,0.0,0.0,2700.0,0.0,0.0,0.0010722766319910667,0.03333333333333333,0.07542700693011284,0.07435473164853951,0.0,0.26666666666666666,0.0,0.1,0.0,0.0010722766319910667,,52,49,3060,51.6,447,0.0,0.0,0.8823529411764706,1.5294117647058822,low,2021,low
GER-Bundesliga,1920,Hoffenheim,Pavel Kadeřábek,CZE,"MF,DF",27.0,30,28,2474,27.5,2,7,2,0,0,0.33,0.07,27.0,10.0,0.98,0.36,0.07,29.0,35.0,7.0,117.0,25.0,19.0,74.0,3.040431878529489,4.747436864301562,3.040431878529489,39.0,9.320814335718753,5.046486342325807,2.0,7.0,27.0,2477.0,0.1106058484509515,0.1106058484509515,0.1727038471249558,1.4187550525464836,0.3390757034012481,0.18358276912260413,4.256265157639451,1.2732417138237673,0.25464834276475345,0.9094583670169766,0.6911883589329022,0.2833096955759073,0.11260858809368478,52,49,3060,51.6,447,0.038461538461538464,0.06040268456375839,0.8084967320261438,1.5294117647058822,high,2021,mid
