player_id,player_name,age,position,minutes,appearances,starts,subs,goals,assists,g_plus_a_90,shots_90,shots_on_target_90,pens_taken,pens_scored,club_position,season,goals_next,assists_next,next_season_g_plus_a,player_id,g_plus_a_per_90,current_g_plus_a
113,Joelinton,26,AM,2661,32,30,2,6,4,0.24,1.72,0.68,0,0,4,2022,2,1,3,8,,10
114,Mathias Jensen,27,AM,2804,37,37,0,5,6,0.35,0.74,0.22,0,0,9,2022,3,3,6,9,,11
115,Andreas Pereira,27,AM,2692,33,33,0,4,6,0.33,2.07,0.77,1,1,10,2022,3,7,10,10,,10
116,Bruno Guimaraes,25,AM,2726,32,32,0,4,5,0.3,0.92,0.26,0,0,4,2022,7,8,15,11,,9
117,Declan Rice,24,AM,3273,37,36,1,4,2,0.14,0.99,0.25,1,0,14,2022,7,9,16,12,,6
118,Youri Tielemans,26,AM,2344,31,27,4,3,2,0.19,1.19,0.38,2,1,18,2022,2,7,9,15,,5
119,Danilo Santos,22,AM,976,13,12,1,3,2,0.46,1.38,0.37,0,0,16,2022,2,2,4,16,,5
120,Conor Gallagher,23,AM,1623,35,18,17,3,1,0.22,1.55,0.61,0,0,12,2022,5,7,12,17,,4
121,Curtis Jones,22,AM,1035,18,12,6,3,1,0.35,1.3,0.43,0,0,5,2022,1,1,2,19,,4
122,Tom Cairney,32,AM,988,33,6,27,2,0,0.18,1.91,0.27,0,0,10,2022,1,4,5,23,,2
123,Sean Longstaff,25,AM,2518,33,28,5,1,4,0.18,1.18,0.25,0,0,4,2022,6,2,8,25,,5
124,John McGinn,28,AM,2694,34,30,4,1,3,0.13,1.4,0.37,0,0,7,2022,6,5,11,26,,4
125,Mateo Kovacic,29,AM,1707,27,17,10,1,2,0.16,1.21,0.11,0,0,12,2022,1,0,1,27,,3
126,Ryan Christie,28,AM,1834,32,22,10,1,1,0.1,1.62,0.44,0,0,15,2022,0,5,5,28,,2
127,Scott McTominay,26,AM,1160,24,10,14,1,0,0.08,1.01,0.47,0,0,3,2022,7,1,8,29,,1
128,Erling Haaland,22,CF,2769,35,33,2,36,8,1.43,4,1.95,7,7,1,2022,27,5,32,30,,44
129,Ivan Toney,27,CF,2951,33,33,0,20,4,0.73,2.87,1.28,7,6,9,2022,4,2,6,32,,24
130,Callum Wilson,31,CF,1877,31,21,10,18,5,1.1,3.5,1.68,3,3,4,2022,9,1,10,33,,23
131,Ollie Watkins,27,CF,3127,37,36,1,15,6,0.6,2.45,1.35,2,1,7,2022,19,15,34,34,,21
132,Gabriel Jesus,26,CF,2064,26,24,2,11,6,0.74,3.36,1.4,1,1,2,2022,4,5,9,36,,17
133,Alexander Isak,23,CF,1521,22,17,5,10,1,0.65,3.02,1.48,2,2,4,2022,21,2,23,38,,11
134,Taiwo Awoniyi,25,CF,1404,27,17,10,10,1,0.71,2.24,0.96,0,0,16,2022,6,3,9,39,,11
135,Darwin Nunez,23,CF,1695,29,19,10,9,3,0.64,4.46,1.96,0,0,5,2022,11,8,19,40,,12
136,Julian Alvarez,23,CF,1465,31,13,18,9,0,0.55,2.89,1.35,1,1,1,2022,11,8,19,41,,9
137,Yoane Wissa,26,CF,1607,38,16,22,7,3,0.56,1.79,0.84,0,0,9,2022,12,4,16,42,,10
138,Kai Havertz,23,CF,2569,35,30,5,7,1,0.28,2.49,1.16,1,1,12,2022,13,7,20,43,,8
139,Dominic Solanke,25,CF,2860,33,32,1,6,7,0.41,2.39,0.91,0,0,15,2022,19,3,22,44,,13
140,Danny Welbeck,32,CF,1853,31,21,10,6,4,0.44,3.01,1.12,0,0,6,2022,5,3,8,45,,10
141,Evan Ferguson,18,CF,949,19,10,9,6,2,0.76,3.41,1.61,0,0,6,2022,6,0,6,46,,8
142,Michail Antonio,33,CF,1830,33,21,12,5,3,0.39,1.92,0.64,0,0,14,2022,6,2,8,48,,8
143,Odsonne Edouard,25,CF,1803,35,20,15,5,2,0.35,1.95,0.75,0,0,11,2022,7,0,7,50,,7
144,Jordan Ayew,31,CF,2715,38,31,7,4,3,0.23,1.06,0.36,0,0,11,2022,4,7,11,52,,7
145,Eddie Nketiah,23,CF,1089,30,9,21,4,1,0.41,3.39,1.16,0,0,2,2022,5,2,7,53,,5
146,Hee-chan Hwang,27,CF,1130,27,12,15,3,1,0.32,1.43,0.56,0,0,13,2022,12,3,15,55,,4
147,Dominic Calvert-Lewin,26,CF,1167,17,15,2,2,1,0.23,2.39,0.77,1,1,17,2022,7,2,9,57,,3
148,Matheus Cunha,24,CF,965,17,12,5,2,0,0.19,2.42,0.65,0,0,13,2022,12,7,19,58,,2
149,Richarlison,26,CF,1010,27,12,15,1,4,0.36,2.41,1.25,0,0,8,2022,11,4,15,59,,5
150,Neal Maupay,26,CF,1119,27,11,16,1,0,0.08,2.58,1.29,0,0,17,2022,6,3,9,60,,1
151,Marcus Rashford,25,LW,2880,35,32,3,17,5,0.69,3.38,1.56,0,0,3,2022,7,2,9,78,,22
152,Gabriel Martinelli,21,LW,2789,36,34,2,15,5,0.65,2.55,1.03,0,0,2,2022,6,4,10,79,,20
153,Heung-min Son,30,LW,2888,36,33,3,10,6,0.5,2.52,1.25,0,0,8,2022,17,10,27,81,,16
154,Kaoru Mitoma,26,LW,2317,33,24,9,7,5,0.47,2.02,0.82,0,0,6,2022,3,4,7,82,,12
155,Diogo Jota,26,LW,1132,22,12,10,7,4,0.88,2.79,0.88,0,0,5,2022,10,3,13,83,,11
156,Dwight McNeil,23,LW,2497,36,28,8,7,3,0.36,1.66,0.54,0,0,17,2022,3,6,9,84,,10
157,Cody Gakpo,24,LW,1458,21,17,4,7,2,0.56,2.41,0.8,0,0,5,2022,8,5,13,85,,9
158,Jack Harrison,26,LW,2708,36,34,2,5,7,0.4,1.3,0.47,0,0,19,2022,3,3,6,90,,12
159,Jack Grealish,27,LW,2055,28,23,5,5,7,0.53,1.8,0.7,0,0,1,2022,3,1,4,91,,12
160,Willian,34,LW,2126,27,25,2,5,5,0.42,1.74,0.76,0,0,10,2022,4,2,6,92,,10
161,Alex Iwobi,27,LW,3378,38,38,0,2,7,0.24,1.12,0.4,0,0,17,2022,5,2,7,95,,9
162,Mohamed Salah,30,RW,3290,38,37,1,19,12,0.85,3.42,1.29,4,2,5,2022,18,10,28,98,,31
163,Bukayo Saka,21,RW,3181,38,37,1,14,11,0.71,2.52,0.91,3,2,2,2022,16,9,25,99,,25
164,Miguel Almiron,29,RW,2490,34,29,5,11,2,0.47,2.49,0.76,0,0,4,2022,3,1,4,100,,13
165,Bryan Mbeumo,23,RW,2904,38,36,2,9,8,0.53,2.2,1.02,1,1,9,2022,9,6,15,101,,17
166,Brennan Johnson,22,RW,2934,38,33,5,8,3,0.34,1.69,0.83,3,1,16,2022,5,10,15,102,,11
167,Jarrod Bowen,26,RW,3233,38,36,2,6,5,0.31,2.09,0.67,2,1,14,2022,16,6,22,103,,11
168,Raheem Sterling,28,RW,1890,28,23,5,6,3,0.43,2,0.81,0,0,12,2022,8,4,12,104,,9
169,Leon Bailey,25,RW,1968,33,26,7,4,4,0.37,2.33,0.64,0,0,7,2022,10,9,19,106,,8
170,Jacob Murphy,28,RW,1252,36,14,22,4,2,0.43,2.09,0.72,0,0,4,2022,3,7,10,107,,6
171,Antony,23,RW,1802,25,23,2,4,2,0.3,3.6,1.2,0,0,3,2022,1,1,2,108,,6
172,Michael Olise,21,RW,2748,37,31,6,2,11,0.43,1.67,0.46,0,0,11,2022,10,6,16,109,,13
173,Harry Wilson,26,RW,1100,29,13,16,2,3,0.41,1.47,0.33,0,0,10,2022,4,6,10,110,,5
174,Dango Ouattara,21,RW,1241,19,15,4,1,3,0.29,1.89,0.36,0,0,15,2022,1,2,3,112,,4
175,Pedro Neto,23,RW,964,18,13,5,0,0,0,1.59,0.28,0,0,13,2022,2,9,11,113,,0
176,Declan Rice,25,AM,3225,38,37,1,7,9,,1.62,0.56,0,0,2,2023,4,7,11,2,0.42,16
177,Bruno Guimaraes,26,AM,3263,37,37,0,7,8,,1.32,0.44,0,0,7,2023,5,6,11,3,0.41,15
178,John McGinn,29,AM,3000,35,35,0,6,5,,1.2,0.48,0,0,4,2023,1,4,5,6,0.3,11
179,Alexis Mac Allister,25,AM,2602,33,31,2,5,5,,1.52,0.31,1,1,3,2023,5,5,10,9,0.35,10
180,Andreas Pereira,28,AM,2614,37,34,3,3,7,,1.79,0.55,0,0,13,2023,2,4,6,12,0.34,10
181,Pape Matar Sarr,21,AM,2069,34,27,7,3,3,,1.57,0.61,0,0,5,2023,3,2,5,14,0.26,6
182,Enzo Fernandez,23,AM,2209,28,26,2,3,2,,1.91,0.65,2,1,6,2023,6,7,13,15,0.2,5
183,Kobbie Mainoo,19,AM,1924,24,24,0,3,1,,0.51,0.23,0,0,8,2023,0,0,0,16,0.19,4
184,Youri Tielemans,27,AM,1622,32,17,15,2,7,,0.78,0.33,0,0,4,2023,3,7,10,17,0.44,9
185,Ryan Christie,29,AM,2907,37,35,2,0,5,,1.33,0.4,0,0,12,2023,2,3,5,18,0.15,5
186,Nicolas Dominguez,25,AM,1495,26,19,7,2,2,,1.32,0.36,0,0,17,2023,0,1,1,21,0.24,4
187,Joao Gomes,23,AM,2648,34,32,2,2,1,,0.88,0.27,0,0,14,2023,3,1,4,22,0.1,3
188,Jean-Ricner Bellegarde,25,AM,959,22,10,12,2,1,,1.41,0.47,0,0,14,2023,2,7,9,23,0.28,3
189,Joelinton,27,AM,1279,20,15,5,2,1,,1.34,0.63,0,0,7,2023,4,3,7,24,0.21,3
190,Ryan Yates,26,AM,1992,35,21,14,1,1,,1.45,0.32,0,0,17,2023,2,1,3,26,0.09,2
191,Curtis Jones,23,AM,1166,23,14,9,1,1,,1.47,0.46,0,0,3,2023,3,3,6,27,0.15,2
192,Mateo Kovacic,30,AM,1551,30,16,14,1,0,,1.28,0.29,0,0,1,2023,6,2,8,28,0.06,1
193,Sasa Lukic,27,AM,1121,24,13,11,1,0,,1.04,0.24,0,0,13,2023,0,2,2,30,0.08,1
194,Erling Haaland,23,CF,2552,31,29,2,27,5,,4.27,2.08,8,7,1,2023,22,3,25,31,1.13,32
195,Alexander Isak,24,CF,2255,30,27,3,21,2,,3.02,1.48,6,5,7,2023,23,6,29,32,0.92,23
196,Ollie Watkins,28,CF,3217,37,37,0,19,15,,2.97,1.29,0,0,4,2023,16,8,24,33,0.9,34
197,Dominic Solanke,26,CF,3325,38,37,1,19,3,,2.95,1.03,3,2,12,2023,9,3,12,34,0.6,22
198,Jean-Philippe Mateta,26,CF,2282,35,25,10,16,6,,1.81,1.14,2,2,10,2023,14,2,16,35,0.83,22
199,Nicolas Jackson,22,CF,2799,35,31,4,14,5,,2.52,1.32,0,0,6,2023,10,5,15,36,0.61,19
200,Chris Wood,32,CF,1811,31,20,11,14,1,,2.38,1.29,0,0,17,2023,20,3,23,37,0.75,15
201,Kai Havertz,24,CF,2634,37,30,7,13,7,,2.36,0.96,1,1,2,2023,9,3,12,38,0.68,20
202,Matheus Cunha,24,CF,2440,32,29,3,12,7,,2.69,1.4,1,1,14,2023,15,6,21,39,0.7,19
203,Yoane Wissa,27,CF,2493,34,29,5,12,4,,2.42,0.94,0,0,16,2023,19,5,24,40,0.54,16
204,Darwin Nunez,24,CF,2047,36,22,14,11,8,,4.75,2.02,1,0,3,2023,5,2,7,43,0.84,19
205,Rasmus Hojlund,21,CF,2159,30,25,5,10,2,,1.58,0.88,0,0,8,2023,4,1,5,45,0.5,12
206,Joao Pedro,22,CF,2046,31,19,12,9,3,,3.3,1.14,5,4,11,2023,10,6,16,46,0.53,12
207,Rodrigo Muniz,23,CF,1594,26,18,8,9,1,,4.12,1.53,0,0,13,2023,8,1,9,47,0.56,10
208,Dominic Calvert-Lewin,27,CF,2170,32,26,6,7,2,,3.03,1.29,2,2,15,2023,3,2,5,49,0.37,9
209,Raul Jimenez,33,CF,1395,24,18,6,7,0,,2.65,1.1,0,0,13,2023,12,3,15,51,0.45,7
210,Eddie Nketiah,24,CF,1081,27,10,17,5,2,,3.16,1,0,0,2,2023,3,1,4,56,0.58,7
211,Danny Welbeck,33,CF,1693,29,21,8,5,3,,2.18,0.85,0,0,11,2023,10,4,14,57,0.32,8
212,Jordan Ayew,32,CF,2544,35,30,5,4,7,,1.7,0.71,0,0,10,2023,5,0,5,58,0.39,11
213,Cameron Archer,22,CF,1838,29,21,8,4,1,,2.06,0.54,0,0,20,2023,2,0,2,60,0.25,5
214,Beto,26,CF,952,30,9,21,3,0,,4.07,1.23,1,0,15,2023,8,0,8,62,0.28,3
215,Heung-min Son,31,LW,2934,35,34,1,17,10,,2.61,1.23,2,2,5,2023,7,10,17,82,0.83,27
216,Leandro Trossard,29,LW,1649,34,18,16,12,2,,3.27,1.2,0,0,2,2023,8,8,16,83,0.71,14
